fixed,model_short,chunker,auc,norm_auc,n_points,occ,legend_label
128,BAAI_bgeM3,semantic_recursive,14.024600000000001,0.43826875000000004,3,0,"(BAAI_bgeM3,semantic-recursive)"
128,Intf_e5L,recursive_token,14.018927999999999,0.43809149999999997,3,0,"(Intf_e5L,recursive-token)"
128,Nomic_text_v1,recursive_token,13.934232,0.43544475,3,0,"(Nomic_text_v1,recursive-token)"
256,BAAI_bgeM3,semantic_recursive,31.540447999999998,0.49281949999999997,5,0,"(BAAI_bgeM3,semantic-recursive)"
256,Nomic_text_v1,recursive_token,31.416352,0.4908805,5,0,"(Nomic_text_v1,recursive-token)"
256,Intf_e5L_v2,fixed_token,31.203152,0.48754925,5,0,"(Intf_e5L_v2,fixed-token)"
384,Intf_e5L_v2,recursive_token,34.774983999999996,0.5433591249999999,5,0,"(Intf_e5L_v2,recursive-token)"
384,Intf_e5L_v2,semantic_fixed,34.711968,0.5423745,5,1,"(Intf_e5L_v2,semantic-fixed)"
384,Intf_e5L_v2,fixed_token,34.322272,0.5362855,5,2,"(Intf_e5L_v2,fixed-token)"
448,Intf_e5L_v2,recursive_token,35.285424000000006,0.5513347500000001,5,0,"(Intf_e5L_v2,recursive-token)"
448,Intf_e5L_v2,semantic_fixed,35.163608,0.549431375,5,1,"(Intf_e5L_v2,semantic-fixed)"
448,Intf_e5L_v2,hierarchical_section,35.151864,0.549247875,5,2,"(Intf_e5L_v2,hierarchical-section)"
